schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,train_observations,selected_parameter_set,objective,train_sharpe,train_max_drawdown
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,90,2021-01-01,2023-12-31,1095,period=7;oversold=25;overbought=75,0.637222,0.637222,-0.482603
2,calendar_duration,BTC-USD,Volatility_Breakout,91,2021-01-01,2023-12-31,1095,lookback=10;multiplier=1.5,0.731434,0.731434,-0.419036
2,calendar_duration,BTC-USD,MACD_Momentum,92,2021-07-01,2024-06-30,1096,fast=12;slow=26;signal=9,0.676334,0.676334,-0.367386
2,calendar_duration,BTC-USD,MA_Cross,93,2021-07-01,2024-06-30,1096,short=20;long=150,0.777198,0.777198,-0.266691
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,94,2021-07-01,2024-06-30,1096,period=7;oversold=25;overbought=75,0.697568,0.697568,-0.461952
2,calendar_duration,BTC-USD,Volatility_Breakout,95,2021-07-01,2024-06-30,1096,lookback=10;multiplier=1.5,0.902944,0.902944,-0.417696
2,calendar_duration,BTC-USD,MACD_Momentum,96,2022-01-01,2024-12-31,1096,fast=8;slow=21;signal=5,0.447778,0.447778,-0.400032
2,calendar_duration,BTC-USD,MA_Cross,97,2022-01-01,2024-12-31,1096,short=5;long=150,0.930462,0.930462,-0.224284
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,98,2022-01-01,2024-12-31,1096,period=7;oversold=25;overbought=75,0.745555,0.745555,-0.425722
2,calendar_duration,BTC-USD,Volatility_Breakout,99,2022-01-01,2024-12-31,1096,lookback=10;multiplier=1.5,0.882690,0.882690,-0.319175
