schema_version,regime,ticker,strategy,benchmark_ticker,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure,regime_information_cutoff,volatility_threshold_method,return_attribution_policy
2,sideways/high_volatility,AAPL,MACD_Momentum,AAPL,0.068174,1.912854,-0.046070,4,0.000000,0.000000,0.019609,0.421875,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,MSFT,MA_Cross,MSFT,0.462679,0.860905,-0.145230,17,0.625000,26.240659,-0.399169,0.840000,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,MSFT,MA_Cross,MSFT,-0.077677,-0.903490,-0.186091,4,0.000000,0.000000,0.110860,0.794118,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,MSFT,MA_Cross,MSFT,0.001889,0.131451,-0.080521,2,0.000000,0.000000,-0.033775,0.418182,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,MSFT,MA_Cross,MSFT,-0.050524,-0.453306,-0.106430,4,0.000000,0.000000,-0.316247,0.153488,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,MSFT,MA_Cross,MSFT,0.002789,0.108714,-0.118890,3,0.500000,2.362404,-0.172506,0.378049,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,MSFT,MA_Cross,MSFT,-0.066322,-1.233403,-0.093662,2,0.000000,0.000000,-0.019750,0.395833,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,MSFT,RSI_Mean_Reversion,MSFT,0.169021,0.597677,-0.085392,12,1.000000,66706.688818,-0.692827,0.287407,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,MSFT,RSI_Mean_Reversion,MSFT,-0.112283,-2.021046,-0.151146,2,1.000000,4258.873678,0.076253,0.156863,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,MSFT,RSI_Mean_Reversion,MSFT,0.054584,0.949665,-0.128615,2,0.000000,0.000000,0.018920,0.763636,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,MSFT,RSI_Mean_Reversion,MSFT,0.318513,1.225579,-0.138991,7,0.333333,0.451237,0.052790,0.786047,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,MSFT,RSI_Mean_Reversion,MSFT,0.234981,1.892325,-0.066140,7,0.666667,2.243712,0.059686,0.658537,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,MSFT,RSI_Mean_Reversion,MSFT,-0.075778,-1.139300,-0.121982,3,1.000000,16690.224845,-0.029207,0.458333,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,MSFT,MACD_Momentum,MSFT,0.215097,0.589230,-0.163868,53,0.407407,2.490859,-0.646751,0.490370,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,MSFT,MACD_Momentum,MSFT,-0.171844,-2.320991,-0.228300,11,0.600000,2.611601,0.016692,0.647059,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,MSFT,MACD_Momentum,MSFT,-0.084115,-2.867473,-0.090529,3,0.333333,0.025203,-0.119779,0.127273,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,MSFT,MACD_Momentum,MSFT,-0.097254,-0.384455,-0.242793,25,0.166667,0.051513,-0.362977,0.525581,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,MSFT,MACD_Momentum,MSFT,0.031814,0.462664,-0.049900,9,0.333333,0.236048,-0.143481,0.469512,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,MSFT,MACD_Momentum,MSFT,-0.154130,-2.016171,-0.212002,9,0.200000,0.092090,-0.107558,0.531250,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
