schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,parameter_set,in_sample_sharpe,in_sample_total_return,out_of_sample_total_return,out_of_sample_sharpe,out_of_sample_max_drawdown,out_of_sample_trades,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,SPY,MACD_Momentum,40,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=20;slow=40;signal=10,0.653233,0.253620,0.014301,0.340749,-0.082888,10,100000.000000,101430.088674,continuous_capital,liquidate_at_test_end_close,145.568940,0.014301,0.014301,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,41,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=10;long=100,0.635270,0.228542,0.066366,1.107886,-0.071332,4,100000.000000,106636.568957,continuous_capital,liquidate_at_test_end_close,152.215924,0.066366,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,42,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=25;overbought=75,0.451457,0.236996,0.000000,0.000000,0.000000,0,100000.000000,100000.000000,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.000000,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,43,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,lookback=20;multiplier=1.5,0.282749,0.104613,0.121693,1.985743,-0.058677,8,100000.000000,112169.270649,continuous_capital,liquidate_at_test_end_close,160.192304,0.121693,0.121693,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,44,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=12;slow=26;signal=9,0.325026,0.096761,0.026168,0.759144,-0.050682,10,101430.088674,104084.275171,continuous_capital,liquidate_at_test_end_close,148.960014,0.026168,0.040843,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,45,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=20;long=200,0.694289,0.108989,0.000000,0.000000,0.000000,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,46,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=14;oversold=25;overbought=75,0.697177,0.282562,0.033450,0.764622,-0.084749,2,100000.000000,103345.006964,continuous_capital,liquidate_at_test_end_close,0.000000,0.033450,0.033450,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,47,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,lookback=20;multiplier=1.5,0.601407,0.227142,0.023389,0.700420,-0.053504,10,112169.270649,114792.751984,continuous_capital,liquidate_at_test_end_close,163.927289,0.023389,0.147928,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,48,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=12;slow=26;signal=9,0.115192,0.020012,0.055005,1.792851,-0.016236,10,104084.275171,109809.421497,continuous_capital,liquidate_at_test_end_close,0.000000,0.055005,0.098094,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,49,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=20;long=200,0.861490,0.185220,0.000000,0.000000,0.000000,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,50,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=21;oversold=35;overbought=65,0.406246,0.137996,0.050704,2.444930,-0.018203,2,103345.006964,108584.988757,continuous_capital,liquidate_at_test_end_close,0.000000,0.050704,0.085850,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,51,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,lookback=40;multiplier=2,0.815448,0.241126,0.004648,0.162152,-0.051006,4,114792.751984,115326.332020,continuous_capital,liquidate_at_test_end_close,0.000000,0.004648,0.153263,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,52,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=12;slow=26;signal=9,0.307294,0.085910,-0.003003,-0.052689,-0.031054,12,109809.421497,109479.704720,continuous_capital,liquidate_at_test_end_close,0.000000,-0.003003,0.094797,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,53,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=20;long=200,1.293408,0.351892,0.000000,0.000000,0.000000,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,54,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=21;oversold=35;overbought=65,0.534017,0.195688,0.055099,1.794382,-0.023104,2,108584.988757,114567.902823,continuous_capital,liquidate_at_test_end_close,0.000000,0.055099,0.145679,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,55,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,lookback=10;multiplier=2,0.858569,0.235991,-0.042163,-1.206099,-0.053578,4,115326.332020,110463.797472,continuous_capital,liquidate_at_test_end_close,0.000000,-0.042163,0.104638,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,56,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=12;slow=26;signal=9,0.341469,0.098112,-0.033566,-0.471458,-0.128981,12,109479.704720,105804.869802,continuous_capital,liquidate_at_test_end_close,150.965092,-0.033566,0.058049,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,57,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=20;long=200,1.315978,0.448853,0.036733,1.786892,-0.015037,2,106636.568957,110553.692505,continuous_capital,liquidate_at_test_end_close,159.300588,0.036733,0.105537,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,RSI_Mean_Reversion,58,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=20;overbought=80,0.585261,0.203069,-0.059571,-0.465555,-0.160280,2,114567.902823,107743.015669,continuous_capital,liquidate_at_test_end_close,0.000000,-0.059571,0.077430,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,Volatility_Breakout,59,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,lookback=10;multiplier=2,0.821538,0.231562,0.144819,2.679126,-0.043182,2,110463.797472,126461.070131,continuous_capital,liquidate_at_test_end_close,176.897746,0.144819,0.264611,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MACD_Momentum,60,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=20;slow=40;signal=10,1.141410,2.310002,1.138226,3.704138,-0.193230,6,100000.000000,213822.642339,continuous_capital,liquidate_at_test_end_close,315.196851,1.138226,1.138226,TSLA,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
