schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_gross_return,benchmark_net_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,cost_drag,average_trade_return
2,AAPL,RSI_Mean_Reversion,period=21;oversold=35;overbought=65,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.470035,2.514725,2.513315,-2.043279,0.066548,0.225778,0.397754,-0.266476,0.769231,4.203027,26,29.606845,4441.039615,0.044410,0.032963
2,AAPL,MACD_Momentum,fast=8;slow=21;signal=5,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.379917,2.514725,2.513315,-2.133398,0.055325,0.186174,0.382713,-0.226012,0.380435,1.219666,184,228.379942,34257.009361,0.342570,0.004859
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.884799,2.514725,2.513315,-1.628516,0.111808,0.182110,0.673544,-0.256986,0.472727,1.509264,110,190.187441,28528.145352,0.285281,0.014472
2,AAPL,MACD_Momentum,fast=16;slow=32;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.921314,2.514725,2.513315,-1.592001,0.115381,0.185129,0.682851,-0.254191,0.461538,1.524562,104,176.502693,26475.433541,0.264754,0.015902
2,AAPL,MACD_Momentum,fast=20;slow=40;signal=10,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.745355,2.514725,2.513315,-1.767960,0.097609,0.183810,0.599076,-0.242360,0.441860,1.452367,86,137.002469,20550.394167,0.205504,0.017523
2,AAPL,Volatility_Breakout,lookback=10;multiplier=1,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.081560,2.514725,2.513315,-2.594875,-0.014126,0.208076,0.036074,-0.412078,0.398230,0.959003,226,194.348113,29152.222156,0.291522,0.000660
2,AAPL,Volatility_Breakout,lookback=10;multiplier=1.5,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.219458,2.514725,2.513315,-2.293857,0.033734,0.185879,0.271650,-0.322955,0.510204,1.170179,98,94.131165,14119.683778,0.141197,0.006737
2,AAPL,Volatility_Breakout,lookback=10;multiplier=2,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.648772,2.514725,2.513315,-1.864543,0.087210,0.242144,0.466732,-0.289623,0.526316,2.047200,39,46.033580,6905.015791,0.069050,0.033359
2,AAPL,Volatility_Breakout,lookback=20;multiplier=1,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.160258,2.514725,2.513315,-2.673573,-0.028784,0.216281,-0.026823,-0.550662,0.361111,0.919619,216,180.670523,27100.581193,0.271006,0.000133
2,AAPL,Volatility_Breakout,lookback=20;multiplier=1.5,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.740811,2.514725,2.513315,-1.772504,0.097131,0.197486,0.568599,-0.241727,0.578947,1.931922,77,82.572823,12385.903724,0.123859,0.017649
2,AAPL,Volatility_Breakout,lookback=20;multiplier=2,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.258453,2.514725,2.513315,-2.254862,0.039189,0.195947,0.294195,-0.278800,0.521739,1.319925,47,46.121397,6918.187859,0.069182,0.012685
2,AAPL,Volatility_Breakout,lookback=40;multiplier=1,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.003043,2.514725,2.513315,-2.516358,-0.000509,0.205890,0.100748,-0.423147,0.422680,0.998490,194,201.322811,30198.429139,0.301984,0.001287
2,AAPL,Volatility_Breakout,lookback=40;multiplier=1.5,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.040208,2.514725,2.513315,-1.473107,0.126636,0.215160,0.662242,-0.222930,0.439024,1.877568,83,109.014273,16352.122570,0.163521,0.021563
2,AAPL,Volatility_Breakout,lookback=40;multiplier=2,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.791916,2.514725,2.513315,-1.721399,0.102452,0.212983,0.564729,-0.363337,0.500000,2.433766,41,49.466980,7420.026049,0.074200,0.034130
2,MSFT,MA_Cross,short=5;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.319666,1.945336,1.943932,-1.624266,0.047476,0.183580,0.344566,-0.336871,0.310345,1.342734,58,62.416470,9362.480838,0.093625,0.014949
2,MSFT,MA_Cross,short=5;long=100,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.960151,1.945336,1.943932,-0.983780,0.119120,0.154637,0.805639,-0.181524,0.461538,3.598853,26,40.557692,6083.679289,0.060837,0.064866
2,MSFT,MA_Cross,short=5;long=150,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.159047,1.945336,1.943932,-1.784885,0.024988,0.130090,0.254916,-0.309683,0.181818,1.404749,22,22.751507,3412.730914,0.034127,0.025203
2,MSFT,MA_Cross,short=5;long=200,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.253987,1.945336,1.943932,-1.689944,0.038572,0.132533,0.352097,-0.292703,0.222222,1.319257,19,20.904675,3135.678640,0.031357,0.027637
2,MSFT,MA_Cross,short=10;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.221587,1.945336,1.943932,-1.722345,0.034036,0.177534,0.277467,-0.364947,0.428571,1.368093,42,42.402078,6360.318841,0.063603,0.013895
2,MSFT,MA_Cross,short=10;long=100,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.661753,1.945336,1.943932,-1.282179,0.088637,0.155205,0.625179,-0.274803,0.363636,2.275721,22,31.894653,4784.215758,0.047842,0.060261
2,MSFT,MA_Cross,short=10;long=150,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.302444,1.945336,1.943932,-1.641488,0.045177,0.128013,0.409368,-0.248677,0.285714,2.170700,14,15.749328,2362.407334,0.023624,0.052601
