ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,10,0.970163,0.641387,55.764458,8364.587421,0.104838,153.808618
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,25,0.870947,0.599943,54.305715,16291.251524,0.204054,158.046764
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,0,1.004830,0.655238,56.291767,5629.176666,0.070171,153.197621
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,5,0.970163,0.641387,55.764052,8364.587421,0.104838,153.808618
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,10,0.936978,0.627663,55.306280,11061.176914,0.138023,155.771655
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,25,0.837958,0.585707,53.792282,18826.849237,0.237043,158.726759
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,0,0.936979,0.627663,55.305489,11061.097893,0.138022,155.772547
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,5,0.903165,0.613624,54.771072,13692.748877,0.171836,156.398913
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,10,0.870947,0.599942,54.304604,16291.307067,0.204054,158.046334
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,20,25,0.775812,0.558200,52.844843,23779.758578,0.299189,161.687087
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,0,0,0.013925,0.101880,126.673611,0.000000,0.000000,0.000000
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,0,5,-0.042765,0.047631,123.196250,6159.790184,0.056691,1.228166
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,0,10,-0.095990,-0.006248,119.967876,11996.703738,0.109915,1.266891
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,0,25,-0.239690,-0.169048,110.696551,27673.707052,0.253615,1.372659
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,5,0,-0.042765,0.047631,123.195804,6159.790184,0.056691,1.228166
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,5,5,-0.095990,-0.006248,119.967457,11996.724710,0.109916,1.266889
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,5,10,-0.147523,-0.061515,116.714132,17507.041106,0.161448,1.293769
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,5,25,-0.282630,-0.223604,107.810964,32342.888273,0.296555,1.408683
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,10,0,-0.095990,-0.006248,119.967037,11996.703738,0.109915,1.266891
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,10,5,-0.147523,-0.061515,116.713738,17507.041106,0.161448,1.293769
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,10,10,-0.195069,-0.115521,113.652775,22730.481731,0.208994,1.332582
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,10,25,-0.322096,-0.276463,105.077584,36776.777626,0.336021,1.450439
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,20,0,-0.195068,-0.115520,113.652042,22730.408420,0.208993,1.332587
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,20,5,-0.239691,-0.169049,110.695173,27673.775981,0.253616,1.372655
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,20,10,-0.282631,-0.223605,107.810002,32342.936399,0.296556,1.408681
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,20,25,-0.396780,-0.384982,99.828070,44922.304756,0.410705,1.525738
