ticker,strategy,parameter_set,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-08-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-09-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-10-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-11-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2024-12-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2025-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,74,2025-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-23,97134.600933,4249.339092,92885.261841,-0.028654,-0.028654
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-24,85677.571163,4249.339092,81428.232071,-0.143224,-0.143224
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-25,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-26,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-29,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-30,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-07-31,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-01,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-02,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-05,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-06,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-07,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-08,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-09,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-12,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-13,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-14,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-15,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-16,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-19,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-20,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-21,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-22,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-23,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-26,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
TSLA,Volatility_Breakout,lookback=40;multiplier=1.5,75,2024-08-27,85860.380708,85860.380708,0.000000,-0.141396,-0.141396
