ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
AAPL,MACD_Momentum,3,2024-10-31,SELL,229.225326,396,90.773229,45.409319,94655.085757,-1965.914836
AAPL,MACD_Momentum,3,2024-11-25,BUY,231.575737,391,90.546113,45.250431,94519.289213,0.000000
AAPL,MACD_Momentum,3,2025-01-03,SELL,243.238321,391,95.106183,47.576880,99029.503763,4374.418006
AAPL,MACD_Momentum,4,2025-02-03,BUY,230.105000,402,92.502210,46.227991,99861.269799,0.000000
AAPL,MACD_Momentum,4,2025-02-04,SELL,227.136375,402,91.308823,45.677250,98622.801518,-1377.198482
AAPL,MACD_Momentum,4,2025-02-05,BUY,228.644264,402,91.914994,45.934530,98484.951994,0.000000
AAPL,MACD_Momentum,4,2025-02-10,SELL,229.455222,402,92.240999,46.143571,98764.650858,141.849340
AAPL,MACD_Momentum,4,2025-02-12,BUY,231.315597,403,93.220186,46.586799,98624.843873,0.000000
AAPL,MACD_Momentum,4,2025-03-05,SELL,235.302288,403,94.826822,47.437130,100183.240413,1418.589555
AAPL,MACD_Momentum,4,2025-03-28,BUY,221.780833,425,94.256854,47.104875,100041.878685,0.000000
AAPL,MACD_Momentum,4,2025-04-04,SELL,193.793054,425,82.362048,41.201625,88111.815530,-12071.424883
AAPL,MACD_Momentum,4,2025-04-23,BUY,206.103000,419,86.357157,43.157000,87982.301373,0.000000
AAPL,MACD_Momentum,4,2025-05-27,SELL,198.200853,419,83.046157,41.543851,84631.412644,-3480.402886
AAPL,MACD_Momentum,4,2025-06-05,BUY,203.601750,396,80.626293,40.293000,84510.493351,0.000000
AAPL,MACD_Momentum,4,2025-06-13,SELL,199.630131,396,79.053532,39.546539,82898.971588,-1732.441056
AAPL,MACD_Momentum,4,2025-06-24,BUY,202.691291,390,79.049604,39.505049,82780.416935,0.000000
MSFT,MACD_Momentum,0,2023-01-12,BUY,235.377625,402,94.621805,47.287259,99858.090936,0.000000
MSFT,MACD_Momentum,0,2023-02-17,SELL,259.260320,402,104.222648,52.137393,109401.998992,9401.998992
MSFT,MACD_Momentum,0,2023-03-07,BUY,256.428138,404,103.596968,51.772598,109246.629426,0.000000
MSFT,MACD_Momentum,0,2023-03-13,SELL,247.276294,404,99.899623,49.974799,105501.157471,-3900.841521
MSFT,MACD_Momentum,0,2023-03-15,BUY,260.110001,384,99.882240,49.916162,105351.359068,0.000000
MSFT,MACD_Momentum,0,2023-04-06,SELL,283.068386,384,108.698260,54.376318,114108.596989,8607.439519
MSFT,MACD_Momentum,0,2023-04-10,BUY,289.354596,371,107.350555,53.648453,113947.597981,0.000000
MSFT,MACD_Momentum,0,2023-04-11,SELL,285.607125,371,105.960243,53.006625,112504.974282,-1603.622707
MSFT,MACD_Momentum,0,2023-04-28,BUY,304.162015,350,106.456705,53.201752,112345.315826,0.000000
MSFT,MACD_Momentum,0,2023-05-12,SELL,310.394713,350,108.638149,54.346248,114471.323738,1966.349455
MSFT,MACD_Momentum,0,2023-05-19,BUY,316.898360,341,108.062341,54.004168,114309.257229,0.000000
MSFT,MACD_Momentum,0,2023-05-24,SELL,314.572646,341,107.269272,53.661467,113462.923566,-1008.400172
MSFT,MACD_Momentum,0,2023-05-26,BUY,324.181999,330,106.980060,53.463298,113302.480208,0.000000
MSFT,MACD_Momentum,0,2023-06-08,SELL,323.778032,330,106.846751,53.450100,113115.787788,-347.135778
MSFT,MACD_Momentum,0,2023-06-16,BUY,351.495667,308,108.260666,54.103281,112953.423841,0.000000
MSFT,MACD_Momentum,0,2023-06-22,SELL,333.952935,308,102.857504,51.454479,107501.508098,-5614.279690
MSFT,MACD_Momentum,1,2023-07-14,BUY,347.763791,277,96.330570,48.141214,99855.528215,0.000000
MSFT,MACD_Momentum,1,2023-07-24,SELL,345.677081,277,95.752551,47.900226,99229.898143,-770.101857
