regime,ticker,strategy,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure
bull/low_volatility,TSLA,MACD_Momentum,4.156353,2.879790,-0.149820,34,0.444444,9.647473,-0.426091,0.550459
bull/high_volatility,TSLA,MACD_Momentum,0.443377,1.248895,-0.225191,15,0.428571,4.018242,-2.747922,0.486339
bear/low_volatility,TSLA,MACD_Momentum,-0.136311,-0.510624,-0.246698,6,0.333333,0.343499,0.540552,0.497006
bear/high_volatility,TSLA,MACD_Momentum,-0.023249,0.188658,-0.302018,14,0.000000,0.000000,-0.012710,0.634409
sideways/low_volatility,TSLA,MACD_Momentum,-0.317999,-1.232353,-0.393342,25,0.428571,1.113455,0.333395,0.442308
sideways/high_volatility,TSLA,MACD_Momentum,0.350690,2.234988,-0.243726,7,0.333333,2.479108,0.186123,0.506667
bull/low_volatility,BTC-USD,MA_Cross,2.201830,1.711452,-0.175047,14,0.750000,25.122854,-3.415387,0.835463
bull/high_volatility,BTC-USD,MA_Cross,4.033562,2.168829,-0.246416,7,0.500000,15.132206,-8.458979,0.837838
bear/low_volatility,BTC-USD,MA_Cross,-0.282830,-2.160673,-0.282830,3,0.000000,0.000000,0.342109,0.167785
bear/high_volatility,BTC-USD,MA_Cross,-0.273795,-0.858055,-0.411299,7,0.000000,0.000000,0.469065,0.147541
sideways/low_volatility,BTC-USD,MA_Cross,-0.266155,-1.490958,-0.306676,8,0.000000,0.000000,-0.109169,0.390438
sideways/high_volatility,BTC-USD,MA_Cross,-0.139342,-1.197476,-0.225207,5,0.333333,0.796775,-0.469418,0.250000
bull/low_volatility,BTC-USD,RSI_Mean_Reversion,0.139149,0.827649,-0.072567,3,1.000000,6576.026501,-5.478068,0.071885
bull/high_volatility,BTC-USD,RSI_Mean_Reversion,0.688357,2.159016,-0.051659,8,1.000000,30033.855086,-11.804184,0.149877
bear/low_volatility,BTC-USD,RSI_Mean_Reversion,-0.260285,-1.034816,-0.312430,9,0.500000,0.359415,0.364655,0.778523
bear/high_volatility,BTC-USD,RSI_Mean_Reversion,-0.330484,-0.773964,-0.474337,3,0.000000,0.000000,0.412376,0.898361
sideways/low_volatility,BTC-USD,RSI_Mean_Reversion,0.061433,0.447868,-0.142091,7,0.500000,1.843747,0.218420,0.310757
sideways/high_volatility,BTC-USD,RSI_Mean_Reversion,0.197937,1.515154,-0.176480,5,0.666667,1.939761,-0.132138,0.509615
bull/low_volatility,BTC-USD,MACD_Momentum,1.212523,1.569106,-0.136175,49,0.409091,2.061904,-4.404694,0.428115
bull/high_volatility,BTC-USD,MACD_Momentum,3.163070,2.325821,-0.172869,24,0.692308,6.269317,-9.329471,0.513514
bear/low_volatility,BTC-USD,MACD_Momentum,-0.331108,-1.407731,-0.357953,22,0.166667,0.276343,0.293831,0.580537
bear/high_volatility,BTC-USD,MACD_Momentum,-0.472283,-1.205276,-0.528813,25,0.100000,0.051839,0.270577,0.554098
sideways/low_volatility,BTC-USD,MACD_Momentum,0.057248,0.377314,-0.156146,19,0.333333,0.929848,0.214235,0.513944
sideways/high_volatility,BTC-USD,MACD_Momentum,0.338282,2.252710,-0.137821,4,0.500000,1.937210,0.008207,0.528846
