date,ticker,regime
2020-05-08,AAPL,unclassified
2020-05-11,AAPL,unclassified
2020-05-12,AAPL,unclassified
2020-05-13,AAPL,unclassified
2020-05-14,AAPL,unclassified
2020-05-15,AAPL,unclassified
2020-05-18,AAPL,unclassified
2020-05-19,AAPL,unclassified
2020-05-20,AAPL,unclassified
2020-05-21,AAPL,unclassified
2020-05-22,AAPL,unclassified
2020-05-26,AAPL,unclassified
2020-05-27,AAPL,unclassified
2020-05-28,AAPL,unclassified
2020-05-29,AAPL,unclassified
2020-06-01,AAPL,unclassified
2020-06-02,AAPL,unclassified
2020-06-03,AAPL,unclassified
2020-06-04,AAPL,unclassified
2020-06-05,AAPL,unclassified
2020-06-08,AAPL,unclassified
2020-06-09,AAPL,unclassified
2020-06-10,AAPL,unclassified
2020-06-11,AAPL,unclassified
2020-06-12,AAPL,unclassified
2020-06-15,AAPL,unclassified
2020-06-16,AAPL,unclassified
2020-06-17,AAPL,unclassified
2020-06-18,AAPL,unclassified
2020-06-19,AAPL,unclassified
2020-06-22,AAPL,unclassified
2020-06-23,AAPL,unclassified
2020-06-24,AAPL,unclassified
2020-06-25,AAPL,unclassified
2020-06-26,AAPL,unclassified
2020-06-29,AAPL,unclassified
2020-06-30,AAPL,unclassified
2020-07-01,AAPL,unclassified
2020-07-02,AAPL,unclassified
2020-07-06,AAPL,unclassified
2020-07-07,AAPL,unclassified
2020-07-08,AAPL,unclassified
2020-07-09,AAPL,unclassified
2020-07-10,AAPL,unclassified
2020-07-13,AAPL,unclassified
2020-07-14,AAPL,unclassified
2020-07-15,AAPL,unclassified
2020-07-16,AAPL,unclassified
2020-07-17,AAPL,unclassified
2020-07-20,AAPL,unclassified
2020-07-21,AAPL,unclassified
2020-07-22,AAPL,unclassified
2020-07-23,AAPL,unclassified
2020-07-24,AAPL,unclassified
2020-07-27,AAPL,unclassified
2020-07-28,AAPL,unclassified
2020-07-29,AAPL,unclassified
2020-07-30,AAPL,unclassified
2020-07-31,AAPL,unclassified
2020-08-03,AAPL,unclassified
2020-08-04,AAPL,unclassified
2020-08-05,AAPL,unclassified
2020-08-06,AAPL,unclassified
2020-08-07,AAPL,unclassified
2020-08-10,AAPL,unclassified
2020-08-11,AAPL,unclassified
2020-08-12,AAPL,unclassified
2020-08-13,AAPL,unclassified
2020-08-14,AAPL,unclassified
2020-08-17,AAPL,unclassified
2020-08-18,AAPL,unclassified
2020-08-19,AAPL,unclassified
2020-08-20,AAPL,unclassified
2020-08-21,AAPL,unclassified
2020-08-24,AAPL,unclassified
2020-08-25,AAPL,unclassified
2020-08-26,AAPL,unclassified
2020-08-27,AAPL,unclassified
2020-08-28,AAPL,unclassified
2020-08-31,AAPL,unclassified
2020-09-01,AAPL,unclassified
2020-09-02,AAPL,unclassified
2020-09-03,AAPL,unclassified
2020-09-04,AAPL,unclassified
2020-09-08,AAPL,unclassified
2020-09-09,AAPL,unclassified
2020-09-10,AAPL,unclassified
2020-09-11,AAPL,unclassified
2020-09-14,AAPL,unclassified
2020-09-15,AAPL,unclassified
2020-09-16,AAPL,unclassified
2020-09-17,AAPL,unclassified
2020-09-18,AAPL,unclassified
2020-09-21,AAPL,unclassified
2020-09-22,AAPL,unclassified
2020-09-23,AAPL,unclassified
2020-09-24,AAPL,unclassified
2020-09-25,AAPL,unclassified
2020-09-28,AAPL,unclassified
2020-09-29,AAPL,unclassified
2020-09-30,AAPL,unclassified
2020-10-01,AAPL,unclassified
2020-10-02,AAPL,unclassified
2020-10-05,AAPL,unclassified
2020-10-06,AAPL,unclassified
2020-10-07,AAPL,unclassified
2020-10-08,AAPL,unclassified
2020-10-09,AAPL,unclassified
2020-10-12,AAPL,unclassified
2020-10-13,AAPL,unclassified
2020-10-14,AAPL,unclassified
2020-10-15,AAPL,unclassified
2020-10-16,AAPL,bull/high_volatility
2020-10-19,AAPL,bull/high_volatility
2020-10-20,AAPL,bull/high_volatility
2020-10-21,AAPL,bull/high_volatility
2020-10-22,AAPL,bull/high_volatility
2020-10-23,AAPL,bull/high_volatility
2020-10-26,AAPL,bull/high_volatility
2020-10-27,AAPL,bull/high_volatility
2020-10-28,AAPL,bull/high_volatility
2020-10-29,AAPL,bull/high_volatility
2020-10-30,AAPL,sideways/high_volatility
2020-11-02,AAPL,sideways/high_volatility
2020-11-03,AAPL,sideways/high_volatility
2020-11-04,AAPL,bull/high_volatility
2020-11-05,AAPL,bull/high_volatility
2020-11-06,AAPL,bull/high_volatility
2020-11-09,AAPL,bull/high_volatility
2020-11-10,AAPL,bull/high_volatility
2020-11-11,AAPL,bull/high_volatility
2020-11-12,AAPL,bull/high_volatility
2020-11-13,AAPL,bull/high_volatility
2020-11-16,AAPL,sideways/high_volatility
2020-11-17,AAPL,sideways/high_volatility
2020-11-18,AAPL,sideways/high_volatility
2020-11-19,AAPL,sideways/high_volatility
2020-11-20,AAPL,sideways/high_volatility
2020-11-23,AAPL,sideways/high_volatility
2020-11-24,AAPL,sideways/high_volatility
2020-11-25,AAPL,sideways/high_volatility
2020-11-27,AAPL,sideways/high_volatility
2020-11-30,AAPL,sideways/high_volatility
2020-12-01,AAPL,bull/high_volatility
2020-12-02,AAPL,bull/high_volatility
2020-12-03,AAPL,bull/low_volatility
2020-12-04,AAPL,bull/low_volatility
2020-12-07,AAPL,bull/low_volatility
2020-12-08,AAPL,bull/low_volatility
2020-12-09,AAPL,bull/low_volatility
2020-12-10,AAPL,bull/low_volatility
2020-12-11,AAPL,bull/low_volatility
2020-12-14,AAPL,bull/low_volatility
2020-12-15,AAPL,bull/high_volatility
2020-12-16,AAPL,bull/high_volatility
2020-12-17,AAPL,bull/high_volatility
2020-12-18,AAPL,bull/high_volatility
2020-12-21,AAPL,bull/high_volatility
2020-12-22,AAPL,bull/low_volatility
2020-12-23,AAPL,bull/high_volatility
2020-12-24,AAPL,bull/high_volatility
2020-12-28,AAPL,bull/high_volatility
2020-12-29,AAPL,bull/high_volatility
2020-12-30,AAPL,bull/high_volatility
2020-12-31,AAPL,bull/high_volatility
2021-01-04,AAPL,bull/high_volatility
2021-01-05,AAPL,bull/high_volatility
2021-01-06,AAPL,bull/high_volatility
2021-01-07,AAPL,bull/high_volatility
2021-01-08,AAPL,bull/high_volatility
2021-01-11,AAPL,bull/high_volatility
2021-01-12,AAPL,bull/high_volatility
2021-01-13,AAPL,bull/high_volatility
2021-01-14,AAPL,bull/high_volatility
2021-01-15,AAPL,bull/high_volatility
2021-01-19,AAPL,bull/high_volatility
2021-01-20,AAPL,bull/high_volatility
2021-01-21,AAPL,bull/high_volatility
2021-01-22,AAPL,bull/high_volatility
2021-01-25,AAPL,bull/high_volatility
2021-01-26,AAPL,bull/high_volatility
2021-01-27,AAPL,bull/high_volatility
2021-01-28,AAPL,bull/high_volatility
2021-01-29,AAPL,bull/high_volatility
2021-02-01,AAPL,bull/high_volatility
2021-02-02,AAPL,bull/high_volatility
2021-02-03,AAPL,bull/high_volatility
2021-02-04,AAPL,bull/high_volatility
2021-02-05,AAPL,bull/high_volatility
2021-02-08,AAPL,bull/high_volatility
2021-02-09,AAPL,bull/high_volatility
2021-02-10,AAPL,bull/high_volatility
2021-02-11,AAPL,bull/high_volatility
2021-02-12,AAPL,bull/high_volatility
2021-02-16,AAPL,bull/high_volatility
2021-02-17,AAPL,bull/high_volatility
2021-02-18,AAPL,bull/high_volatility
2021-02-19,AAPL,bull/high_volatility
2021-02-22,AAPL,bull/high_volatility
2021-02-23,AAPL,bull/low_volatility
2021-02-24,AAPL,bull/low_volatility
2021-02-25,AAPL,bull/low_volatility
2021-02-26,AAPL,bull/low_volatility
2021-03-01,AAPL,bull/high_volatility
2021-03-02,AAPL,bull/high_volatility
2021-03-03,AAPL,sideways/high_volatility
2021-03-04,AAPL,sideways/high_volatility
2021-03-05,AAPL,sideways/high_volatility
2021-03-08,AAPL,sideways/high_volatility
2021-03-09,AAPL,sideways/high_volatility
2021-03-10,AAPL,sideways/high_volatility
2021-03-11,AAPL,sideways/high_volatility
2021-03-12,AAPL,sideways/high_volatility
2021-03-15,AAPL,sideways/high_volatility
2021-03-16,AAPL,sideways/high_volatility
2021-03-17,AAPL,sideways/high_volatility
2021-03-18,AAPL,sideways/high_volatility
2021-03-19,AAPL,sideways/high_volatility
2021-03-22,AAPL,sideways/high_volatility
2021-03-23,AAPL,sideways/high_volatility
2021-03-24,AAPL,sideways/high_volatility
2021-03-25,AAPL,sideways/high_volatility
2021-03-26,AAPL,sideways/high_volatility
2021-03-29,AAPL,sideways/high_volatility
2021-03-30,AAPL,sideways/high_volatility
2021-03-31,AAPL,sideways/high_volatility
2021-04-01,AAPL,sideways/high_volatility
2021-04-05,AAPL,sideways/high_volatility
2021-04-06,AAPL,sideways/high_volatility
2021-04-07,AAPL,sideways/low_volatility
2021-04-08,AAPL,bull/low_volatility
2021-04-09,AAPL,bull/low_volatility
2021-04-12,AAPL,bull/low_volatility
2021-04-13,AAPL,bull/low_volatility
2021-04-14,AAPL,bull/high_volatility
2021-04-15,AAPL,bull/high_volatility
2021-04-16,AAPL,bull/low_volatility
2021-04-19,AAPL,sideways/low_volatility
2021-04-20,AAPL,sideways/low_volatility
2021-04-21,AAPL,sideways/low_volatility
2021-04-22,AAPL,sideways/low_volatility
2021-04-23,AAPL,sideways/low_volatility
2021-04-26,AAPL,sideways/low_volatility
2021-04-27,AAPL,bull/low_volatility
2021-04-28,AAPL,sideways/low_volatility
2021-04-29,AAPL,sideways/low_volatility
2021-04-30,AAPL,sideways/low_volatility
2021-05-03,AAPL,sideways/low_volatility
2021-05-04,AAPL,sideways/low_volatility
2021-05-05,AAPL,sideways/low_volatility
2021-05-06,AAPL,sideways/low_volatility
2021-05-07,AAPL,sideways/low_volatility
2021-05-10,AAPL,sideways/low_volatility
2021-05-11,AAPL,sideways/low_volatility
2021-05-12,AAPL,bear/low_volatility
2021-05-13,AAPL,sideways/low_volatility
2021-05-14,AAPL,sideways/low_volatility
2021-05-17,AAPL,sideways/low_volatility
2021-05-18,AAPL,sideways/low_volatility
2021-05-19,AAPL,sideways/low_volatility
2021-05-20,AAPL,bull/low_volatility
2021-05-21,AAPL,bull/low_volatility
2021-05-24,AAPL,bull/low_volatility
2021-05-25,AAPL,sideways/low_volatility
2021-05-26,AAPL,bull/low_volatility
2021-05-27,AAPL,bull/low_volatility
2021-05-28,AAPL,bull/low_volatility
2021-06-01,AAPL,bull/low_volatility
2021-06-02,AAPL,bull/low_volatility
2021-06-03,AAPL,sideways/low_volatility
2021-06-04,AAPL,bull/low_volatility
2021-06-07,AAPL,bull/low_volatility
2021-06-08,AAPL,bull/low_volatility
2021-06-09,AAPL,bull/low_volatility
2021-06-10,AAPL,bull/low_volatility
2021-06-11,AAPL,bull/low_volatility
2021-06-14,AAPL,bull/low_volatility
2021-06-15,AAPL,bull/low_volatility
2021-06-16,AAPL,bull/low_volatility
2021-06-17,AAPL,bull/low_volatility
2021-06-18,AAPL,bull/low_volatility
2021-06-21,AAPL,bull/low_volatility
2021-06-22,AAPL,bull/low_volatility
2021-06-23,AAPL,bull/low_volatility
2021-06-24,AAPL,bull/low_volatility
2021-06-25,AAPL,bull/low_volatility
2021-06-28,AAPL,bull/low_volatility
2021-06-29,AAPL,bull/low_volatility
2021-06-30,AAPL,bull/low_volatility
2021-07-01,AAPL,bull/low_volatility
2021-07-02,AAPL,bull/low_volatility
2021-07-06,AAPL,bull/low_volatility
2021-07-07,AAPL,bull/low_volatility
2021-07-08,AAPL,bull/low_volatility
2021-07-09,AAPL,bull/low_volatility
2021-07-12,AAPL,bull/low_volatility
2021-07-13,AAPL,bull/low_volatility
2021-07-14,AAPL,bull/low_volatility
2021-07-15,AAPL,bull/low_volatility
2021-07-16,AAPL,bull/low_volatility
2021-07-19,AAPL,bull/low_volatility
2021-07-20,AAPL,bull/low_volatility
2021-07-21,AAPL,bull/low_volatility
2021-07-22,AAPL,bull/low_volatility
2021-07-23,AAPL,bull/low_volatility
2021-07-26,AAPL,bull/low_volatility
2021-07-27,AAPL,bull/low_volatility
2021-07-28,AAPL,bull/low_volatility
2021-07-29,AAPL,bull/low_volatility
2021-07-30,AAPL,bull/low_volatility
2021-08-02,AAPL,bull/low_volatility
2021-08-03,AAPL,bull/low_volatility
2021-08-04,AAPL,bull/low_volatility
2021-08-05,AAPL,bull/low_volatility
2021-08-06,AAPL,bull/low_volatility
2021-08-09,AAPL,bull/low_volatility
2021-08-10,AAPL,bull/low_volatility
2021-08-11,AAPL,bull/low_volatility
2021-08-12,AAPL,bull/low_volatility
2021-08-13,AAPL,bull/low_volatility
2021-08-16,AAPL,bull/low_volatility
2021-08-17,AAPL,bull/low_volatility
2021-08-18,AAPL,bull/low_volatility
2021-08-19,AAPL,bull/low_volatility
2021-08-20,AAPL,bull/low_volatility
2021-08-23,AAPL,bull/low_volatility
2021-08-24,AAPL,bull/low_volatility
2021-08-25,AAPL,bull/low_volatility
2021-08-26,AAPL,bull/low_volatility
2021-08-27,AAPL,bull/low_volatility
2021-08-30,AAPL,bull/low_volatility
2021-08-31,AAPL,bull/low_volatility
2021-09-01,AAPL,bull/low_volatility
2021-09-02,AAPL,bull/low_volatility
2021-09-03,AAPL,bull/low_volatility
2021-09-07,AAPL,bull/low_volatility
2021-09-08,AAPL,bull/low_volatility
2021-09-09,AAPL,bull/low_volatility
2021-09-10,AAPL,bull/low_volatility
2021-09-13,AAPL,bull/low_volatility
2021-09-14,AAPL,bull/low_volatility
2021-09-15,AAPL,bull/low_volatility
2021-09-16,AAPL,bull/low_volatility
2021-09-17,AAPL,bull/low_volatility
2021-09-20,AAPL,bull/low_volatility
2021-09-21,AAPL,bull/low_volatility
2021-09-22,AAPL,bull/low_volatility
2021-09-23,AAPL,bull/low_volatility
2021-09-24,AAPL,bull/low_volatility
2021-09-27,AAPL,bull/low_volatility
2021-09-28,AAPL,bull/low_volatility
2021-09-29,AAPL,bull/low_volatility
2021-09-30,AAPL,sideways/low_volatility
2021-10-01,AAPL,sideways/low_volatility
2021-10-04,AAPL,sideways/low_volatility
2021-10-05,AAPL,sideways/low_volatility
2021-10-06,AAPL,sideways/low_volatility
2021-10-07,AAPL,sideways/low_volatility
2021-10-08,AAPL,sideways/low_volatility
2021-10-11,AAPL,sideways/low_volatility
2021-10-12,AAPL,sideways/low_volatility
2021-10-13,AAPL,sideways/low_volatility
2021-10-14,AAPL,sideways/low_volatility
2021-10-15,AAPL,sideways/low_volatility
2021-10-18,AAPL,sideways/low_volatility
2021-10-19,AAPL,sideways/low_volatility
2021-10-20,AAPL,bull/low_volatility
2021-10-21,AAPL,bull/low_volatility
2021-10-22,AAPL,bull/low_volatility
2021-10-25,AAPL,bull/low_volatility
2021-10-26,AAPL,bull/low_volatility
2021-10-27,AAPL,bull/low_volatility
2021-10-28,AAPL,bull/low_volatility
2021-10-29,AAPL,bull/low_volatility
2021-11-01,AAPL,bull/low_volatility
2021-11-02,AAPL,bull/low_volatility
2021-11-03,AAPL,bull/low_volatility
2021-11-04,AAPL,bull/low_volatility
2021-11-05,AAPL,bull/low_volatility
2021-11-08,AAPL,bull/low_volatility
2021-11-09,AAPL,sideways/low_volatility
2021-11-10,AAPL,sideways/low_volatility
2021-11-11,AAPL,bull/low_volatility
2021-11-12,AAPL,bull/low_volatility
2021-11-15,AAPL,bull/low_volatility
2021-11-16,AAPL,bull/low_volatility
2021-11-17,AAPL,bull/low_volatility
2021-11-18,AAPL,bull/low_volatility
2021-11-19,AAPL,bull/low_volatility
2021-11-22,AAPL,bull/low_volatility
2021-11-23,AAPL,bull/low_volatility
2021-11-24,AAPL,bull/low_volatility
2021-11-26,AAPL,bull/low_volatility
2021-11-29,AAPL,bull/low_volatility
2021-11-30,AAPL,bull/low_volatility
2021-12-01,AAPL,bull/low_volatility
2021-12-02,AAPL,bull/low_volatility
2021-12-03,AAPL,bull/low_volatility
2021-12-06,AAPL,bull/low_volatility
2021-12-07,AAPL,bull/high_volatility
2021-12-08,AAPL,bull/high_volatility
2021-12-09,AAPL,bull/low_volatility
2021-12-10,AAPL,bull/high_volatility
2021-12-13,AAPL,bull/high_volatility
2021-12-14,AAPL,bull/high_volatility
2021-12-15,AAPL,bull/high_volatility
2021-12-16,AAPL,bull/high_volatility
2021-12-17,AAPL,bull/high_volatility
2021-12-20,AAPL,bull/high_volatility
2021-12-21,AAPL,bull/high_volatility
2021-12-22,AAPL,bull/high_volatility
2021-12-23,AAPL,bull/high_volatility
2021-12-27,AAPL,bull/high_volatility
2021-12-28,AAPL,bull/high_volatility
2021-12-29,AAPL,bull/high_volatility
2021-12-30,AAPL,bull/high_volatility
2021-12-31,AAPL,bull/high_volatility
2022-01-03,AAPL,bull/high_volatility
2022-01-04,AAPL,bull/high_volatility
2022-01-05,AAPL,bull/high_volatility
2022-01-06,AAPL,bull/high_volatility
2022-01-07,AAPL,bull/high_volatility
2022-01-10,AAPL,bull/high_volatility
2022-01-11,AAPL,bull/high_volatility
2022-01-12,AAPL,bull/high_volatility
2022-01-13,AAPL,bull/low_volatility
2022-01-14,AAPL,bull/low_volatility
2022-01-18,AAPL,bull/low_volatility
2022-01-19,AAPL,bull/low_volatility
2022-01-20,AAPL,bull/low_volatility
2022-01-21,AAPL,bull/low_volatility
2022-01-24,AAPL,bull/low_volatility
2022-01-25,AAPL,bull/low_volatility
2022-01-26,AAPL,bull/low_volatility
2022-01-27,AAPL,bull/low_volatility
2022-01-28,AAPL,bull/high_volatility
2022-01-31,AAPL,bull/high_volatility
2022-02-01,AAPL,bull/high_volatility
2022-02-02,AAPL,bull/high_volatility
2022-02-03,AAPL,bull/high_volatility
2022-02-04,AAPL,bull/high_volatility
2022-02-07,AAPL,bull/high_volatility
2022-02-08,AAPL,bull/high_volatility
2022-02-09,AAPL,bull/high_volatility
2022-02-10,AAPL,bull/high_volatility
2022-02-11,AAPL,bull/high_volatility
2022-02-14,AAPL,bull/high_volatility
2022-02-15,AAPL,bull/high_volatility
2022-02-16,AAPL,bull/high_volatility
2022-02-17,AAPL,bull/high_volatility
2022-02-18,AAPL,bull/high_volatility
2022-02-22,AAPL,bull/high_volatility
2022-02-23,AAPL,bull/high_volatility
2022-02-24,AAPL,bull/high_volatility
2022-02-25,AAPL,sideways/high_volatility
2022-02-28,AAPL,bull/low_volatility
2022-03-01,AAPL,sideways/low_volatility
2022-03-02,AAPL,bull/low_volatility
2022-03-03,AAPL,bull/low_volatility
2022-03-04,AAPL,sideways/low_volatility
2022-03-07,AAPL,sideways/low_volatility
2022-03-08,AAPL,sideways/low_volatility
2022-03-09,AAPL,sideways/high_volatility
2022-03-10,AAPL,sideways/high_volatility
2022-03-11,AAPL,sideways/high_volatility
2022-03-14,AAPL,bear/high_volatility
2022-03-15,AAPL,sideways/high_volatility
2022-03-16,AAPL,sideways/high_volatility
2022-03-17,AAPL,sideways/high_volatility
2022-03-18,AAPL,sideways/high_volatility
2022-03-21,AAPL,sideways/high_volatility
2022-03-22,AAPL,sideways/high_volatility
2022-03-23,AAPL,sideways/high_volatility
2022-03-24,AAPL,sideways/high_volatility
2022-03-25,AAPL,sideways/high_volatility
2022-03-28,AAPL,sideways/high_volatility
2022-03-29,AAPL,bull/high_volatility
2022-03-30,AAPL,sideways/high_volatility
2022-03-31,AAPL,sideways/high_volatility
2022-04-01,AAPL,sideways/high_volatility
2022-04-04,AAPL,bull/high_volatility
2022-04-05,AAPL,bull/high_volatility
2022-04-06,AAPL,sideways/high_volatility
2022-04-07,AAPL,sideways/high_volatility
2022-04-08,AAPL,sideways/high_volatility
2022-04-11,AAPL,sideways/high_volatility
2022-04-12,AAPL,sideways/low_volatility
2022-04-13,AAPL,bull/low_volatility
2022-04-14,AAPL,sideways/high_volatility
2022-04-18,AAPL,bull/low_volatility
2022-04-19,AAPL,bull/high_volatility
2022-04-20,AAPL,bull/low_volatility
2022-04-21,AAPL,bull/low_volatility
2022-04-22,AAPL,bull/low_volatility
2022-04-25,AAPL,bull/low_volatility
2022-04-26,AAPL,bear/high_volatility
2022-04-27,AAPL,bear/high_volatility
2022-04-28,AAPL,sideways/high_volatility
2022-04-29,AAPL,bear/high_volatility
2022-05-02,AAPL,bear/high_volatility
2022-05-03,AAPL,sideways/high_volatility
2022-05-04,AAPL,sideways/high_volatility
2022-05-05,AAPL,bear/high_volatility
2022-05-06,AAPL,bear/high_volatility
2022-05-09,AAPL,bear/high_volatility
2022-05-10,AAPL,bear/high_volatility
2022-05-11,AAPL,bear/high_volatility
2022-05-12,AAPL,bear/high_volatility
2022-05-13,AAPL,bear/high_volatility
2022-05-16,AAPL,bear/high_volatility
2022-05-17,AAPL,bear/high_volatility
2022-05-18,AAPL,bear/high_volatility
2022-05-19,AAPL,bear/high_volatility
2022-05-20,AAPL,bear/high_volatility
2022-05-23,AAPL,bear/high_volatility
2022-05-24,AAPL,bear/high_volatility
2022-05-25,AAPL,bear/high_volatility
2022-05-26,AAPL,bear/high_volatility
2022-05-27,AAPL,bear/high_volatility
2022-05-31,AAPL,bear/high_volatility
2022-06-01,AAPL,bear/high_volatility
2022-06-02,AAPL,bear/high_volatility
2022-06-03,AAPL,bear/high_volatility
2022-06-06,AAPL,bear/high_volatility
2022-06-07,AAPL,bear/high_volatility
2022-06-08,AAPL,bear/high_volatility
2022-06-09,AAPL,bear/high_volatility
2022-06-10,AAPL,bear/high_volatility
2022-06-13,AAPL,bear/high_volatility
2022-06-14,AAPL,bear/high_volatility
2022-06-15,AAPL,bear/high_volatility
2022-06-16,AAPL,bear/high_volatility
2022-06-17,AAPL,bear/high_volatility
2022-06-21,AAPL,bear/high_volatility
2022-06-22,AAPL,bear/high_volatility
2022-06-23,AAPL,bear/high_volatility
2022-06-24,AAPL,bear/high_volatility
2022-06-27,AAPL,bear/high_volatility
2022-06-28,AAPL,bear/high_volatility
2022-06-29,AAPL,bear/high_volatility
2022-06-30,AAPL,bear/high_volatility
2022-07-01,AAPL,bear/high_volatility
2022-07-05,AAPL,bear/high_volatility
2022-07-06,AAPL,bear/high_volatility
2022-07-07,AAPL,bear/high_volatility
2022-07-08,AAPL,bear/high_volatility
2022-07-11,AAPL,bear/high_volatility
2022-07-12,AAPL,bear/high_volatility
2022-07-13,AAPL,bear/high_volatility
2022-07-14,AAPL,bear/high_volatility
2022-07-15,AAPL,bear/high_volatility
2022-07-18,AAPL,bear/high_volatility
2022-07-19,AAPL,bear/high_volatility
2022-07-20,AAPL,bear/low_volatility
2022-07-21,AAPL,bear/low_volatility
2022-07-22,AAPL,bear/low_volatility
2022-07-25,AAPL,bear/low_volatility
2022-07-26,AAPL,bear/low_volatility
2022-07-27,AAPL,bear/low_volatility
2022-07-28,AAPL,bear/low_volatility
2022-07-29,AAPL,bull/low_volatility
2022-08-01,AAPL,sideways/low_volatility
2022-08-02,AAPL,bull/low_volatility
2022-08-03,AAPL,bull/high_volatility
2022-08-04,AAPL,bull/high_volatility
2022-08-05,AAPL,bull/high_volatility
2022-08-08,AAPL,bull/high_volatility
2022-08-09,AAPL,bull/high_volatility
2022-08-10,AAPL,bull/high_volatility
2022-08-11,AAPL,bull/high_volatility
2022-08-12,AAPL,bull/high_volatility
2022-08-15,AAPL,bull/low_volatility
2022-08-16,AAPL,bull/low_volatility
2022-08-17,AAPL,bull/low_volatility
2022-08-18,AAPL,bull/low_volatility
2022-08-19,AAPL,bull/low_volatility
2022-08-22,AAPL,bull/high_volatility
2022-08-23,AAPL,bull/high_volatility
2022-08-24,AAPL,bull/low_volatility
2022-08-25,AAPL,bull/low_volatility
2022-08-26,AAPL,bull/high_volatility
2022-08-29,AAPL,bull/high_volatility
2022-08-30,AAPL,sideways/high_volatility
2022-08-31,AAPL,sideways/low_volatility
2022-09-01,AAPL,sideways/low_volatility
2022-09-02,AAPL,sideways/low_volatility
2022-09-06,AAPL,sideways/low_volatility
2022-09-07,AAPL,sideways/low_volatility
2022-09-08,AAPL,sideways/low_volatility
2022-09-09,AAPL,sideways/low_volatility
2022-09-12,AAPL,bull/low_volatility
2022-09-13,AAPL,sideways/high_volatility
2022-09-14,AAPL,sideways/high_volatility
2022-09-15,AAPL,sideways/high_volatility
2022-09-16,AAPL,sideways/high_volatility
2022-09-19,AAPL,sideways/high_volatility
2022-09-20,AAPL,sideways/high_volatility
2022-09-21,AAPL,sideways/high_volatility
2022-09-22,AAPL,sideways/high_volatility
2022-09-23,AAPL,sideways/high_volatility
2022-09-26,AAPL,sideways/high_volatility
2022-09-27,AAPL,sideways/high_volatility
2022-09-28,AAPL,sideways/high_volatility
2022-09-29,AAPL,bear/high_volatility
2022-09-30,AAPL,bear/high_volatility
2022-10-03,AAPL,bear/high_volatility
2022-10-04,AAPL,sideways/high_volatility
2022-10-05,AAPL,sideways/high_volatility
2022-10-06,AAPL,bear/high_volatility
