ticker,strategy,window_id,date,portfolio_value,cash,holdings,total_return,drawdown
MSFT,RSI_Mean_Reversion,1,2023-09-26,94168.323816,5208.419641,88959.904175,-0.058317,-0.069531
MSFT,RSI_Mean_Reversion,1,2023-09-27,94353.572076,5208.419641,89145.152435,-0.056464,-0.067700
MSFT,RSI_Mean_Reversion,1,2023-09-28,94595.823816,5208.419641,89387.404175,-0.054042,-0.065307
MSFT,RSI_Mean_Reversion,1,2023-09-29,95197.169641,5208.419641,89988.750000,-0.048028,-0.059365
MSFT,RSI_Mean_Reversion,1,2023-10-02,96921.416162,5208.419641,91712.996521,-0.030786,-0.042328
MSFT,RSI_Mean_Reversion,1,2023-10-03,94524.573816,5208.419641,89316.154175,-0.054754,-0.066011
MSFT,RSI_Mean_Reversion,1,2023-10-04,96112.017206,5208.419641,90903.597565,-0.038880,-0.050325
MSFT,RSI_Mean_Reversion,1,2023-10-05,96226.015466,5208.419641,91017.595825,-0.037740,-0.049199
MSFT,RSI_Mean_Reversion,1,2023-10-06,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-09,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-10,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-11,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-12,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-13,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-16,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-17,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-18,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-19,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-20,95289.886151,95289.886151,0.000000,-0.047101,-0.058449
MSFT,RSI_Mean_Reversion,1,2023-10-23,96221.059978,4999.417949,91221.642029,-0.037789,-0.049248
MSFT,RSI_Mean_Reversion,1,2023-10-24,96556.227611,4999.417949,91556.809662,-0.034438,-0.045936
MSFT,RSI_Mean_Reversion,1,2023-10-25,99365.011669,4999.417949,94365.593719,-0.006350,-0.018183
MSFT,RSI_Mean_Reversion,1,2023-10-26,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-10-27,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-10-30,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-10-31,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-01,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-02,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-03,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-06,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-07,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-08,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-09,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-10,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-13,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-14,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-15,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-16,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-17,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-20,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-21,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-22,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-24,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-27,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-28,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-29,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-11-30,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-12-01,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
MSFT,RSI_Mean_Reversion,1,2023-12-04,99187.553107,99187.553107,0.000000,-0.008124,-0.019936
