schema_version,date,ticker,trend_regime,volatility_regime,regime,volatility_value,volatility_threshold,information_cutoff,volatility_threshold_method
2,2020-09-15,AAPL,unavailable,unavailable,unavailable,0.534967,0.000000,2020-09-15,expanding_median_strictly_prior_volatility
2,2020-09-16,AAPL,unavailable,unavailable,unavailable,0.544821,0.000000,2020-09-16,expanding_median_strictly_prior_volatility
2,2020-09-17,AAPL,unavailable,unavailable,unavailable,0.547325,0.000000,2020-09-17,expanding_median_strictly_prior_volatility
2,2020-09-18,AAPL,unavailable,unavailable,unavailable,0.549436,0.000000,2020-09-18,expanding_median_strictly_prior_volatility
2,2020-09-21,AAPL,unavailable,unavailable,unavailable,0.525385,0.000000,2020-09-21,expanding_median_strictly_prior_volatility
2,2020-09-22,AAPL,unavailable,unavailable,unavailable,0.527211,0.000000,2020-09-22,expanding_median_strictly_prior_volatility
2,2020-09-23,AAPL,unavailable,unavailable,unavailable,0.542989,0.000000,2020-09-23,expanding_median_strictly_prior_volatility
2,2020-09-24,AAPL,unavailable,unavailable,unavailable,0.541435,0.000000,2020-09-24,expanding_median_strictly_prior_volatility
2,2020-09-25,AAPL,unavailable,unavailable,unavailable,0.563716,0.000000,2020-09-25,expanding_median_strictly_prior_volatility
2,2020-09-28,AAPL,unavailable,unavailable,unavailable,0.572779,0.000000,2020-09-28,expanding_median_strictly_prior_volatility
2,2020-09-29,AAPL,unavailable,unavailable,unavailable,0.555537,0.000000,2020-09-29,expanding_median_strictly_prior_volatility
2,2020-09-30,AAPL,unavailable,unavailable,unavailable,0.535297,0.000000,2020-09-30,expanding_median_strictly_prior_volatility
2,2020-10-01,AAPL,unavailable,unavailable,unavailable,0.535244,0.000000,2020-10-01,expanding_median_strictly_prior_volatility
2,2020-10-02,AAPL,unavailable,unavailable,unavailable,0.469604,0.000000,2020-10-02,expanding_median_strictly_prior_volatility
2,2020-10-05,AAPL,unavailable,unavailable,unavailable,0.484604,0.000000,2020-10-05,expanding_median_strictly_prior_volatility
2,2020-10-06,AAPL,unavailable,unavailable,unavailable,0.431456,0.000000,2020-10-06,expanding_median_strictly_prior_volatility
2,2020-10-07,AAPL,unavailable,unavailable,unavailable,0.410888,0.000000,2020-10-07,expanding_median_strictly_prior_volatility
2,2020-10-08,AAPL,unavailable,unavailable,unavailable,0.393168,0.000000,2020-10-08,expanding_median_strictly_prior_volatility
2,2020-10-09,AAPL,unavailable,unavailable,unavailable,0.393611,0.000000,2020-10-09,expanding_median_strictly_prior_volatility
2,2020-10-12,AAPL,unavailable,unavailable,unavailable,0.439965,0.000000,2020-10-12,expanding_median_strictly_prior_volatility
2,2020-10-13,AAPL,unavailable,unavailable,unavailable,0.453248,0.000000,2020-10-13,expanding_median_strictly_prior_volatility
2,2020-10-14,AAPL,unavailable,unavailable,unavailable,0.437131,0.000000,2020-10-14,expanding_median_strictly_prior_volatility
2,2020-10-15,AAPL,bull,low_volatility,bull/low_volatility,0.431813,0.437131,2020-10-15,expanding_median_strictly_prior_volatility
2,2020-10-16,AAPL,bull,low_volatility,bull/low_volatility,0.416207,0.434472,2020-10-16,expanding_median_strictly_prior_volatility
2,2020-10-19,AAPL,bull,low_volatility,bull/low_volatility,0.419662,0.431813,2020-10-19,expanding_median_strictly_prior_volatility
2,2020-10-20,AAPL,bull,low_volatility,bull/low_volatility,0.418738,0.431634,2020-10-20,expanding_median_strictly_prior_volatility
2,2020-10-21,AAPL,bull,low_volatility,bull/low_volatility,0.385729,0.431456,2020-10-21,expanding_median_strictly_prior_volatility
2,2020-10-22,AAPL,bull,low_volatility,bull/low_volatility,0.388317,0.425559,2020-10-22,expanding_median_strictly_prior_volatility
2,2020-10-23,AAPL,bull,low_volatility,bull/low_volatility,0.368218,0.419662,2020-10-23,expanding_median_strictly_prior_volatility
2,2020-10-26,AAPL,bull,low_volatility,bull/low_volatility,0.358579,0.419200,2020-10-26,expanding_median_strictly_prior_volatility
2,2020-10-27,AAPL,bull,low_volatility,bull/low_volatility,0.360246,0.418738,2020-10-27,expanding_median_strictly_prior_volatility
2,2020-10-28,AAPL,bull,low_volatility,bull/low_volatility,0.393545,0.417473,2020-10-28,expanding_median_strictly_prior_volatility
2,2020-10-29,AAPL,bull,low_volatility,bull/low_volatility,0.415826,0.416207,2020-10-29,expanding_median_strictly_prior_volatility
2,2020-10-30,AAPL,sideways,high_volatility,sideways/high_volatility,0.447373,0.416017,2020-10-30,expanding_median_strictly_prior_volatility
2,2020-11-02,AAPL,sideways,high_volatility,sideways/high_volatility,0.430881,0.416207,2020-11-02,expanding_median_strictly_prior_volatility
2,2020-11-03,AAPL,sideways,high_volatility,sideways/high_volatility,0.424490,0.417473,2020-11-03,expanding_median_strictly_prior_volatility
2,2020-11-04,AAPL,bull,high_volatility,bull/high_volatility,0.445723,0.418738,2020-11-04,expanding_median_strictly_prior_volatility
2,2020-11-05,AAPL,bull,high_volatility,bull/high_volatility,0.462794,0.419200,2020-11-05,expanding_median_strictly_prior_volatility
2,2020-11-06,AAPL,bull,high_volatility,bull/high_volatility,0.459511,0.419662,2020-11-06,expanding_median_strictly_prior_volatility
2,2020-11-09,AAPL,bull,low_volatility,bull/low_volatility,0.400995,0.422076,2020-11-09,expanding_median_strictly_prior_volatility
