schema_version,window_mode,continuity_policy,ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,4,2025-06-13,SELL,199.630131,501,100.014695,50.032364,104929.901592,-2191.800427
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,4,2025-06-24,BUY,202.691291,494,100.129498,50.039729,104779.732365,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,4,2025-07-01,SELL,207.716097,494,102.611752,51.331542,107209.414499,2279.512906
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-01-12,BUY,235.377625,402,94.621805,47.287259,99858.090936,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-02-17,SELL,259.260320,402,104.222648,52.137393,109401.998992,9401.998992
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-03-07,BUY,256.428138,404,103.596968,51.772598,109246.629426,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-03-13,SELL,247.276294,404,99.899623,49.974799,105501.157471,-3900.841521
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-03-15,BUY,260.110001,384,99.882240,49.916162,105351.359068,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-04-06,SELL,283.068386,384,108.698260,54.376318,114108.596989,8607.439519
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-04-10,BUY,289.354596,371,107.350555,53.648453,113947.597981,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-04-11,SELL,285.607125,371,105.960243,53.006625,112504.974282,-1603.622707
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-04-28,BUY,304.162015,350,106.456705,53.201752,112345.315826,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-05-12,SELL,310.394713,350,108.638149,54.346248,114471.323738,1966.349455
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-05-19,BUY,316.898360,341,108.062341,54.004168,114309.257229,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-05-24,SELL,314.572646,341,107.269272,53.661467,113462.923566,-1008.400172
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-05-26,BUY,324.181999,330,106.980060,53.463298,113302.480208,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-06-08,SELL,323.778032,330,106.846751,53.450100,113115.787788,-347.135778
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-06-16,BUY,351.495667,308,108.260666,54.103281,112953.423841,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,2023-06-22,SELL,333.952935,308,102.857504,51.454479,107501.508098,-5614.279690
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-07-07,BUY,339.489667,299,101.507411,50.728341,107349.272347,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-07-10,SELL,334.432706,299,99.995379,50.022701,105787.973902,-1713.534197
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-07-14,BUY,347.763791,293,101.894791,50.921934,105635.157176,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-07-24,SELL,345.677081,293,101.283385,50.667026,104973.389627,-814.584275
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-08-22,BUY,325.662750,309,100.629790,50.289750,104822.470087,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-09-18,SELL,327.636088,309,101.239551,50.645098,105381.281666,407.892039
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-03,BUY,320.990402,311,99.828015,49.889063,105231.564588,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-04,SELL,313.872984,311,97.614498,48.831665,102970.322222,-2410.959444
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-05,BUY,319.249541,306,97.690360,48.820769,102823.811093,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-23,SELL,325.307266,306,99.544023,49.796910,104626.751653,1656.429431
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-26,BUY,340.710279,291,99.146691,49.548571,104478.056391,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-27,SELL,330.264778,291,96.107050,48.077564,101391.857159,-3234.894494
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-10-31,BUY,339.019431,285,96.620538,48.286126,101246.950495,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-11-22,SELL,377.811000,285,107.676135,53.865000,112243.157621,10851.300462
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-12-27,BUY,373.876847,284,106.181025,53.063980,112083.912616,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,2023-12-29,SELL,375.851989,284,106.741965,53.397681,112591.174703,348.017082
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-01-10,BUY,376.558180,284,106.942523,53.444539,112430.787641,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-02-01,SELL,401.629072,284,114.062656,57.059858,119490.302699,6899.127996
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-02-09,BUY,415.457625,274,113.835389,56.889250,119319.578060,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-02-14,SELL,407.865972,274,111.755276,55.905591,117184.599200,-2305.703500
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-03-01,BUY,411.475624,269,110.686943,55.315814,117018.596443,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-03-06,SELL,402.768516,269,108.344731,54.199465,114623.355531,-2561.243669
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-03-13,BUY,418.309056,262,109.596973,54.771101,114458.987457,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-03-27,SELL,424.227782,262,111.147679,55.601640,115953.317179,1329.961648
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,2024-04-10,BUY,422.401097,258,108.979483,54.462510,115789.875185,0.000000
