date,ticker,filled_notional,estimated_cost
2020-10-30,SPY,29867.437884,0
2020-10-30,TSLA,29867.437884,0
2020-10-30,BTC-USD,29867.437884,0
2020-12-01,AAPL,32445.049960,0
2020-12-01,MSFT,32445.049960,0
2020-12-01,SPY,32445.049960,0
2020-12-01,TSLA,32445.049960,0
2020-12-01,BTC-USD,32445.049960,0
2020-12-31,AAPL,34736.274101,0
2020-12-31,MSFT,34736.274101,0
2020-12-31,SPY,34736.274101,0
2020-12-31,TSLA,34736.274101,0
2020-12-31,BTC-USD,34736.274101,0
2021-02-02,AAPL,38391.731084,0
2021-02-02,MSFT,38391.731084,0
2021-02-02,SPY,38391.731084,0
2021-02-02,TSLA,38391.731084,0
2021-02-02,BTC-USD,38391.731084,0
2021-03-04,AAPL,33960.246931,0
2021-03-04,MSFT,33960.246931,0
2021-03-04,SPY,33960.246931,0
2021-03-04,TSLA,33960.246931,0
2021-03-04,BTC-USD,33960.246931,0
2021-04-05,AAPL,35602.424625,0
2021-04-05,MSFT,35602.424625,0
2021-04-05,SPY,35602.424625,0
2021-04-05,TSLA,35602.424625,0
2021-04-05,BTC-USD,35602.424625,0
2021-05-04,AAPL,35825.057872,0
2021-05-04,MSFT,35825.057872,0
2021-05-04,SPY,35825.057872,0
2021-05-04,TSLA,35825.057872,0
2021-05-04,BTC-USD,35825.057872,0
2021-06-03,AAPL,35625.050359,0
2021-06-03,MSFT,35625.050359,0
2021-06-03,SPY,35625.050359,0
2021-06-03,TSLA,35625.050359,0
2021-06-03,BTC-USD,35625.050359,0
2021-07-02,AAPL,41422.594232,0
2021-07-02,MSFT,41422.594232,0
2021-07-02,SPY,41422.594232,0
2021-07-02,TSLA,41422.594232,0
2021-07-02,BTC-USD,41422.594232,0
2021-08-03,AAPL,42439.127858,0
2021-08-03,MSFT,42439.127858,0
2021-08-03,SPY,42439.127858,0
2021-08-03,TSLA,42439.127858,0
2021-08-03,BTC-USD,42439.127858,0
2021-09-01,AAPL,47811.366899,0
2021-09-01,MSFT,47811.366899,0
2021-09-01,SPY,47811.366899,0
2021-09-01,TSLA,47811.366899,0
2021-09-01,BTC-USD,47811.366899,0
2021-10-01,AAPL,50744.889909,0
2021-10-01,MSFT,50744.889909,0
2021-10-01,SPY,50744.889909,0
2021-10-01,TSLA,50744.889909,0
2021-10-01,BTC-USD,50744.889909,0
2021-11-01,AAPL,55840.132577,0
2021-11-01,MSFT,55840.132577,0
2021-11-01,SPY,55840.132577,0
2021-11-01,TSLA,55840.132577,0
2021-11-01,BTC-USD,55840.132577,0
2021-12-01,AAPL,54275.903388,0
2021-12-01,MSFT,54275.903388,0
2021-12-01,SPY,54275.903388,0
2021-12-01,TSLA,54275.903388,0
2021-12-01,BTC-USD,54275.903388,0
2021-12-31,AAPL,53374.537049,0
2021-12-31,MSFT,53374.537049,0
2021-12-31,SPY,53374.537049,0
2021-12-31,TSLA,53374.537049,0
2021-12-31,BTC-USD,53374.537049,0
2022-02-01,AAPL,51380.548912,0
2022-02-01,MSFT,51380.548912,0
2022-02-01,SPY,51380.548912,0
2022-02-01,TSLA,51380.548912,0
2022-02-01,BTC-USD,51380.548912,0
2022-03-03,AAPL,51380.548912,0
2022-03-03,MSFT,51380.548912,0
2022-03-03,SPY,51380.548912,0
2022-03-03,TSLA,51380.548912,0
2022-03-03,BTC-USD,51380.548912,0
2022-04-01,AAPL,51290.268318,0
2022-04-01,MSFT,51290.268318,0
2022-04-01,SPY,51290.268318,0
2022-04-01,TSLA,51290.268318,0
2022-04-01,BTC-USD,51290.268318,0
2022-05-03,AAPL,50536.606140,0
2022-05-03,MSFT,50536.606140,0
2022-05-03,SPY,50536.606140,0
2022-05-03,TSLA,50536.606140,0
2022-05-03,BTC-USD,50536.606140,0
2022-06-02,AAPL,51094.677148,0
2022-06-02,MSFT,51094.677148,0
2022-06-02,SPY,51094.677148,0
2022-06-02,TSLA,51094.677148,0
2022-06-02,BTC-USD,51094.677148,0
2022-07-05,AAPL,48563.867773,0
2022-07-05,MSFT,48563.867773,0
2022-07-05,SPY,48563.867773,0
2022-07-05,TSLA,48563.867773,0
2022-07-05,BTC-USD,48563.867773,0
2022-08-03,AAPL,51495.230222,0
2022-08-03,MSFT,51495.230222,0
2022-08-03,SPY,51495.230222,0
2022-08-03,TSLA,51495.230222,0
2022-08-03,BTC-USD,51495.230222,0
2022-09-01,AAPL,51451.094546,0
2022-09-01,MSFT,51451.094546,0
2022-09-01,SPY,51451.094546,0
2022-09-01,TSLA,51451.094546,0
2022-09-01,BTC-USD,51451.094546,0
2022-10-03,AAPL,48124.381285,0
2022-10-03,MSFT,48124.381285,0
2022-10-03,SPY,48124.381285,0
2022-10-03,TSLA,48124.381285,0
2022-10-03,BTC-USD,48124.381285,0
2022-11-01,AAPL,47566.527275,0
2022-11-01,MSFT,47566.527275,0
2022-11-01,SPY,47566.527275,0
2022-11-01,TSLA,47566.527275,0
2022-11-01,BTC-USD,47566.527275,0
2022-12-01,AAPL,47503.286275,0
2022-12-01,MSFT,47503.286275,0
2022-12-01,SPY,47503.286275,0
2022-12-01,TSLA,47503.286275,0
2022-12-01,BTC-USD,47503.286275,0
2023-01-03,AAPL,46260.811116,0
2023-01-03,MSFT,46260.811116,0
2023-01-03,SPY,46260.811116,0
2023-01-03,TSLA,46260.811116,0
2023-01-03,BTC-USD,46260.811116,0
2023-02-02,AAPL,46298.299844,0
2023-02-02,MSFT,46298.299844,0
2023-02-02,SPY,46298.299844,0
2023-02-02,TSLA,46298.299844,0
2023-02-02,BTC-USD,46298.299844,0
2023-03-06,AAPL,44786.381509,0
2023-03-06,MSFT,44786.381509,0
2023-03-06,SPY,44786.381509,0
2023-03-06,TSLA,44786.381509,0
2023-03-06,BTC-USD,44786.381509,0
2023-04-04,AAPL,45316.267754,0
2023-04-04,MSFT,45316.267754,0
2023-04-04,SPY,45316.267754,0
2023-04-04,TSLA,45316.267754,0
2023-04-04,BTC-USD,45316.267754,0
2023-05-04,AAPL,43234.230832,0
2023-05-04,MSFT,43234.230832,0
2023-05-04,SPY,43234.230832,0
2023-05-04,TSLA,43234.230832,0
2023-05-04,BTC-USD,43234.230832,0
2023-06-05,AAPL,43684.247160,0
2023-06-05,MSFT,43684.247160,0
2023-06-05,SPY,43684.247160,0
2023-06-05,TSLA,43684.247160,0
2023-06-05,BTC-USD,43684.247160,0
2023-07-06,AAPL,46997.558750,0
2023-07-06,MSFT,46997.558750,0
2023-07-06,SPY,46997.558750,0
2023-07-06,TSLA,46997.558750,0
2023-07-06,BTC-USD,46997.558750,0
2023-08-04,AAPL,45496.557948,0
2023-08-04,MSFT,45496.557948,0
2023-08-04,SPY,45496.557948,0
2023-08-04,TSLA,45496.557948,0
2023-08-04,BTC-USD,45496.557948,0
2023-09-05,AAPL,44000.859615,0
2023-09-05,MSFT,44000.859615,0
2023-09-05,SPY,44000.859615,0
2023-09-05,TSLA,44000.859615,0
2023-09-05,BTC-USD,44000.859615,0
2023-10-04,AAPL,43410.241351,0
2023-10-04,MSFT,43410.241351,0
2023-10-04,SPY,43410.241351,0
2023-10-04,TSLA,43410.241351,0
2023-10-04,BTC-USD,43410.241351,0
2023-11-02,AAPL,40784.808376,0
2023-11-02,MSFT,40784.808376,0
2023-11-02,SPY,40784.808376,0
2023-11-02,TSLA,40784.808376,0
2023-11-02,BTC-USD,40784.808376,0
2023-12-04,AAPL,40369.873324,0
2023-12-04,MSFT,40369.873324,0
2023-12-04,SPY,40369.873324,0
2023-12-04,TSLA,40369.873324,0
2023-12-04,BTC-USD,40369.873324,0
2024-01-04,AAPL,40111.985667,0
2024-01-04,MSFT,40111.985667,0
2024-01-04,SPY,40111.985667,0
2024-01-04,TSLA,40111.985667,0
2024-01-04,BTC-USD,40111.985667,0
2024-02-05,AAPL,40041.311174,0
2024-02-05,MSFT,40041.311174,0
2024-02-05,SPY,40041.311174,0
2024-02-05,TSLA,40041.311174,0
2024-02-05,BTC-USD,40041.311174,0
2024-03-06,AAPL,37486.697015,0
2024-03-06,MSFT,37486.697015,0
2024-03-06,SPY,37486.697015,0
2024-03-06,TSLA,37486.697015,0
2024-03-06,BTC-USD,37486.697015,0
2024-04-05,AAPL,37887.250045,0
2024-04-05,MSFT,37887.250045,0
2024-04-05,SPY,37887.250045,0
2024-04-05,TSLA,37887.250045,0
2024-04-05,BTC-USD,37887.250045,0
2024-05-06,AAPL,37215.733397,0
2024-05-06,MSFT,37215.733397,0
2024-05-06,SPY,37215.733397,0
2024-05-06,TSLA,37215.733397,0
2024-05-06,BTC-USD,37215.733397,0
2024-06-05,AAPL,38881.272152,0
2024-06-05,MSFT,38881.272152,0
2024-06-05,SPY,38881.272152,0
2024-06-05,TSLA,38881.272152,0
2024-06-05,BTC-USD,38881.272152,0
2024-07-08,AAPL,45412.285567,0
2024-07-08,MSFT,45412.285567,0
2024-07-08,SPY,45412.285567,0
2024-07-08,TSLA,45412.285567,0
2024-07-08,BTC-USD,45412.285567,0
2024-08-06,AAPL,41729.141424,0
2024-08-06,MSFT,41729.141424,0
2024-08-06,SPY,41729.141424,0
2024-08-06,TSLA,41729.141424,0
2024-08-06,BTC-USD,41729.141424,0
2024-09-05,AAPL,40825.931469,0
2024-09-05,MSFT,40825.931469,0
2024-09-05,SPY,40825.931469,0
2024-09-05,TSLA,40825.931469,0
2024-09-05,BTC-USD,40825.931469,0
2024-10-04,AAPL,41973.259675,0
2024-10-04,MSFT,41973.259675,0
2024-10-04,SPY,41973.259675,0
2024-10-04,TSLA,41973.259675,0
2024-10-04,BTC-USD,41973.259675,0
2024-11-04,AAPL,41220.376099,0
2024-11-04,MSFT,41220.376099,0
2024-11-04,SPY,41220.376099,0
2024-11-04,TSLA,41220.376099,0
2024-11-04,BTC-USD,41220.376099,0
2024-12-04,AAPL,45707.850432,0
2024-12-04,MSFT,45707.850432,0
2024-12-04,SPY,45707.850432,0
2024-12-04,TSLA,45707.850432,0
2024-12-04,BTC-USD,45707.850432,0
2025-01-06,AAPL,47607.511634,0
2025-01-06,MSFT,47607.511634,0
2025-01-06,SPY,47607.511634,0
2025-01-06,TSLA,47607.511634,0
2025-01-06,BTC-USD,47607.511634,0
2025-02-06,AAPL,45647.443104,0
2025-02-06,MSFT,45647.443104,0
2025-02-06,SPY,45647.443104,0
2025-02-06,TSLA,45647.443104,0
2025-02-06,BTC-USD,45647.443104,0
2025-03-10,AAPL,43935.383561,0
2025-03-10,MSFT,43935.383561,0
2025-03-10,SPY,43935.383561,0
2025-03-10,TSLA,43935.383561,0
2025-03-10,BTC-USD,43935.383561,0
2025-04-08,AAPL,43444.842907,0
2025-04-08,MSFT,43444.842907,0
2025-04-08,SPY,43444.842907,0
2025-04-08,TSLA,43444.842907,0
2025-04-08,BTC-USD,43444.842907,0
2025-05-08,AAPL,43854.269377,0
2025-05-08,MSFT,43854.269377,0
2025-05-08,SPY,43854.269377,0
2025-05-08,TSLA,43854.269377,0
2025-05-08,BTC-USD,43854.269377,0
2025-06-09,AAPL,45419.993484,0
2025-06-09,MSFT,45419.993484,0
2025-06-09,SPY,45419.993484,0
2025-06-09,TSLA,45419.993484,0
2025-06-09,BTC-USD,45419.993484,0
2025-07-10,AAPL,46012.497670,0
2025-07-10,MSFT,46012.497670,0
2025-07-10,SPY,46012.497670,0
2025-07-10,TSLA,46012.497670,0
2025-07-10,BTC-USD,46012.497670,0
2025-08-08,AAPL,49718.856366,0
2025-08-08,MSFT,49718.856366,0
2025-08-08,SPY,49718.856366,0
2025-08-08,TSLA,49718.856366,0
2025-08-08,BTC-USD,49718.856366,0
2025-09-09,AAPL,50647.083815,0
2025-09-09,MSFT,50647.083815,0
2025-09-09,SPY,50647.083815,0
2025-09-09,TSLA,50647.083815,0
2025-09-09,BTC-USD,50647.083815,0
2025-10-08,AAPL,57906.247396,0
2025-10-08,MSFT,57906.247396,0
2025-10-08,SPY,57906.247396,0
2025-10-08,TSLA,57906.247396,0
2025-10-08,BTC-USD,57906.247396,0
2025-11-06,AAPL,59448.342277,0
2025-11-06,MSFT,59448.342277,0
2025-11-06,SPY,59448.342277,0
2025-11-06,TSLA,59448.342277,0
2025-11-06,BTC-USD,59448.342277,0
2025-12-08,AAPL,55158.400448,0
2025-12-08,MSFT,55158.400448,0
2025-12-08,SPY,55158.400448,0
2025-12-08,TSLA,55158.400448,0
2025-12-08,BTC-USD,55158.400448,0
