path,total_return,terminal_wealth,max_drawdown,sharpe
272,1.47845,247845,-0.259876,0.95037
273,1.0308,203080,-0.243981,0.723438
274,1.14033,214033,-0.220994,0.791847
275,2.31117,331117,-0.442272,1.15111
276,3.06941,406941,-0.251402,1.33984
277,1.33265,233265,-0.183278,0.903411
278,2.83687,383687,-0.235494,1.34272
279,1.74279,274279,-0.289104,0.962122
280,2.13593,313593,-0.212847,1.13263
281,2.09619,309619,-0.175806,1.13792
282,1.77827,277827,-0.226189,0.972107
283,-0.136978,86302.2,-0.563582,-0.028462
284,0.377476,137748,-0.329998,0.382653
285,0.2842,128420,-0.336087,0.314502
286,2.70025,370025,-0.184317,1.26826
287,2.29994,329994,-0.250449,1.12943
288,-0.0411916,95880.8,-0.47516,0.0525119
289,-0.0121006,98789.9,-0.365703,0.0857549
290,2.33652,333652,-0.157269,1.19682
291,3.02885,402885,-0.147126,1.41951
292,1.30602,230602,-0.206527,0.845812
293,2.18421,318421,-0.254923,1.11312
294,0.624677,162468,-0.35331,0.529277
295,0.331725,133173,-0.297625,0.354318
296,-0.0764067,92359.3,-0.235468,0.0257575
297,0.563499,156350,-0.261801,0.491012
298,2.38135,338135,-0.187521,1.20228
299,2.05213,305213,-0.295799,1.07684
300,2.07188,307188,-0.263857,1.06727
301,1.50986,250986,-0.354789,0.89064
302,-0.0273819,97261.8,-0.608389,0.071562
303,1.04367,204367,-0.309578,0.719963
304,1.14614,214614,-0.354101,0.772075
305,1.28482,228482,-0.248593,0.884747
306,1.03185,203185,-0.367719,0.709771
307,-0.321972,67802.8,-0.408948,-0.263118
308,1.69182,269182,-0.305786,0.992873
309,1.75024,275024,-0.359173,0.994891
310,-0.127774,87222.6,-0.516801,-0.0318131
311,0.643898,164390,-0.278245,0.529817
312,0.480445,148045,-0.413817,0.448035
313,0.895933,189593,-0.350233,0.657892
314,0.612527,161253,-0.247794,0.538224
315,0.381039,138104,-0.293083,0.379397
316,2.2133,321330,-0.319047,1.09154
317,0.828526,182853,-0.213552,0.629244
318,0.0302624,103026,-0.410053,0.119055
319,0.84595,184595,-0.223284,0.666044
320,1.11209,211209,-0.252897,0.783833
321,2.96611,396611,-0.306728,1.36298
322,0.652074,165207,-0.334333,0.553835
323,2.11025,311025,-0.231616,1.11522
324,0.14105,114105,-0.410943,0.210926
325,3.1332,413320,-0.271353,1.30972
326,0.950964,195096,-0.219342,0.668566
327,0.806361,180636,-0.424401,0.599869
328,1.04192,204192,-0.318623,0.714832
329,0.772742,177274,-0.402457,0.619764
330,0.761618,176162,-0.205628,0.602772
331,1.86433,286433,-0.179966,0.987557
332,1.51574,251574,-0.306862,0.876147
333,2.97259,397259,-0.164685,1.4307
334,0.843425,184343,-0.416135,0.630627
335,0.485999,148600,-0.270183,0.449046
336,3.27092,427092,-0.239669,1.34821
337,0.526961,152696,-0.239697,0.475466
338,1.2203,222030,-0.323446,0.816452
339,0.801281,180128,-0.354993,0.595678
340,3.65807,465807,-0.219164,1.5038
341,1.54148,254148,-0.233946,0.916527
342,-0.309734,69026.6,-0.483596,-0.244711
343,0.548946,154895,-0.258308,0.481185
344,0.147234,114723,-0.308694,0.217883
345,0.788611,178861,-0.210631,0.607605
346,0.460583,146058,-0.309016,0.430898
347,0.0504632,105046,-0.277824,0.136261
348,2.07801,307801,-0.181382,1.01243
349,0.623993,162399,-0.266615,0.52691
350,0.730487,173049,-0.226735,0.562098
351,0.423237,142324,-0.276495,0.409538
352,1.34262,234262,-0.194625,0.808709
353,3.06861,406861,-0.183729,1.26216
354,0.384815,138482,-0.28402,0.382658
355,1.54885,254885,-0.224207,0.899894
356,0.277614,127761,-0.274533,0.317314
357,0.070965,107097,-0.402773,0.155927
358,1.07687,207687,-0.300467,0.768893
359,2.31871,331871,-0.19031,1.16398
360,1.28404,228404,-0.281139,0.800168
361,2.05609,305609,-0.189949,1.06369
362,0.169907,116991,-0.312945,0.23365
363,0.46979,146979,-0.306866,0.440929
364,1.01571,201571,-0.274614,0.757564
365,1.60508,260508,-0.181736,0.987345
366,0.913094,191309,-0.278453,0.666743
367,3.3979,439790,-0.285646,1.4008
368,1.04756,204756,-0.305659,0.725167
369,0.899288,189929,-0.278592,0.645258
370,0.987244,198724,-0.173983,0.705775
371,0.172139,117214,-0.427945,0.236413
372,1.59117,259117,-0.195394,0.923781
373,0.715744,171574,-0.271282,0.567177
374,0.584061,158406,-0.21554,0.516065
375,0.771316,177132,-0.279394,0.60707
376,0.565028,156503,-0.214401,0.497241
377,1.04549,204549,-0.236082,0.733445
378,4.08124,508124,-0.232641,1.4873
379,1.1453,214530,-0.357879,0.743536
380,1.51392,251392,-0.281315,0.896752
381,0.441459,144146,-0.234679,0.424318
382,0.533956,153396,-0.333062,0.479823
383,0.157487,115749,-0.462945,0.222299
384,0.393125,139313,-0.3259,0.383746
385,-0.128912,87108.8,-0.448783,-0.0321924
386,2.10282,310282,-0.211714,1.08882
387,2.28967,328967,-0.187644,1.18958
388,1.20301,220301,-0.265097,0.776412
389,2.30627,330627,-0.227429,1.14107
390,2.11467,311467,-0.273434,1.07213
391,1.95165,295165,-0.150153,1.06477
392,1.28118,228118,-0.21119,0.852403
393,0.666928,166693,-0.267196,0.563214
394,0.796562,179656,-0.392903,0.606743
395,1.18511,218511,-0.263487,0.772214
396,1.48889,248889,-0.259376,0.879084
397,1.4223,242230,-0.20084,0.844275
398,1.24213,224213,-0.271491,0.794837
399,3.14211,414211,-0.211545,1.38771
400,0.462395,146239,-0.418257,0.42444
401,0.269879,126988,-0.42916,0.310059
402,0.151877,115188,-0.361558,0.217942
403,3.57177,457177,-0.166944,1.41353
404,3.1876,418760,-0.25235,1.34028
405,0.4751,147510,-0.300749,0.432446
406,1.30766,230766,-0.318815,0.827856
407,1.37218,237218,-0.262738,0.784287
408,0.492316,149232,-0.232255,0.43634
409,0.333481,133348,-0.497349,0.343333
410,2.05789,305789,-0.204558,1.13938
411,1.16935,216935,-0.223103,0.778645
412,0.189507,118951,-0.363967,0.249405
413,0.971911,197191,-0.272271,0.685763
414,1.77158,277158,-0.258752,0.94742
415,0.171976,117198,-0.325227,0.233969
416,0.6287,162870,-0.321584,0.537811
417,0.959063,195906,-0.178964,0.705079
418,0.297508,129751,-0.457266,0.32165
419,3.5166,451660,-0.170606,1.50376
420,0.309994,130999,-0.340368,0.327622
421,0.560827,156083,-0.292034,0.473162
422,0.855186,185519,-0.190351,0.630767
423,1.84392,284392,-0.30974,1.02857
424,1.36526,236526,-0.253091,0.86015
425,0.549198,154920,-0.291593,0.509081
426,0.389995,139000,-0.3036,0.3863
427,0.576846,157685,-0.315408,0.500081
428,-0.407875,59212.5,-0.436611,-0.377623
429,3.91686,491686,-0.16316,1.43762
430,0.44775,144775,-0.333339,0.409551
431,1.34156,234156,-0.324625,0.852934
432,1.01377,201377,-0.19683,0.718072
433,2.45359,345359,-0.201242,1.24227
434,1.3534,235340,-0.315479,0.836367
435,1.13338,213338,-0.223623,0.785924
436,0.818629,181863,-0.398679,0.613445
437,1.98207,298207,-0.181468,1.11049
438,-0.0601202,93988,-0.286008,0.02995
439,0.602288,160229,-0.233002,0.507226
440,2.28526,328526,-0.257357,1.13657
441,0.226824,122682,-0.36137,0.274037
442,0.681195,168119,-0.300633,0.559483
443,1.02487,202487,-0.317521,0.698474
444,0.768586,176859,-0.192772,0.604786
445,1.51516,251516,-0.175337,0.938828
446,0.767935,176794,-0.348488,0.604306
447,-0.279019,72098.1,-0.316203,-0.202277
